pmid	full_title	journal	pub_count	date	tweet_title	status_hash	posted	score
					Analysis of a small outbreak of Shiga toxin-producing Escherichia coli O157:H7 using long-read sequencing.	analysisofasmalloutbreakofshigatoxinproducingescherichiacolio157h7usinglongreadsequencing	True	0
					Globetrotting strangles: the unbridled national and international transmission of Streptococcus equi between horses.	globetrottingstranglestheunbridlednationalandinternationaltransmissionofstreptococcusequibetweenhorses	True	0
					Erratum Erratum to: Salmonella enterica serovar Typhi H58 clone has been endemic in Zimbabwe from 2012 to 2019.	erratumerratumtosalmonellaentericaserovartyphih58clonehasbeenendemicinzimbabwefrom2012to2019	True	0
					Multicentre stepped-wedge cluster randomised controlled trial of an antimicrobial stewardship programme in residential aged care: protocol for the START trial.	multicentresteppedwedgeclusterrandomisedcontrolledtrialofanantimicrobialstewardshipprogrammeinresidentialagedcareprotocolforthestarttrial	True	0
					Nutrient conditions are primary drivers of bacterial capsule maintenance in Klebsiella.	nutrientconditionsareprimarydriversofbacterialcapsulemaintenanceinklebsiella	True	0
					Genome sequencing of an historic Staphylococcus aureus collection reveals new enterotoxin genes and sheds light on the evolution and genomic organisation of this key virulence gene family.	genomesequencingofanhistoricstaphylococcusaureuscollectionrevealsnewenterotoxingenesandshedslightontheevolutionandgenomicorganisationofthiskeyvirulencegenefamily	True	0
					Genomic network analysis of environmental and livestock F-type plasmid populations.	genomicnetworkanalysisofenvironmentalandlivestockftypeplasmidpopulations	True	0
					PlasmidHawk improves lab of origin prediction of engineered plasmids using sequence alignment.	plasmidhawkimproveslaboforiginpredictionofengineeredplasmidsusingsequencealignment	True	0
					Evaluation of full-length nanopore 16S sequencing for detection of pathogens in microbial keratitis.	evaluationoffulllengthnanopore16ssequencingfordetectionofpathogensinmicrobialkeratitis	True	0
					Virome composition in marine fish revealed by meta-transcriptomics.	viromecompositioninmarinefishrevealedbymetatranscriptomics	True	0
					Glycine acylation and trafficking of a new class of bacterial lipoprotein by a composite secretion system.	glycineacylationandtraffickingofanewclassofbacteriallipoproteinbyacompositesecretionsystem	True	0
					Genomic diversity of Salmonella enterica -The UoWUCC 10K genomes project.	genomicdiversityofsalmonellaentericatheuowucc10kgenomesproject	True	0
					What makes new variants of SARS-CoV-2 concerning is not where they come from, but the mutations they contain.	whatmakesnewvariantsofsarscov2concerningisnotwheretheycomefrombutthemutationstheycontain	True	0
